[0.011s][info][gc] Using The Z Garbage Collector
[293.172s][info][gc] GC(179) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[294.172s][info][gc] GC(180) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[295.172s][info][gc] GC(181) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[296.172s][info][gc] GC(182) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[297.172s][info][gc] GC(183) Garbage Collection (Proactive) 12M(60%)->12M(60%)
[311.469s][info][gc] GC(184) Garbage Collection (Proactive) 14M(70%)->10M(50%)
[312.469s][info][gc] GC(185) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[313.468s][info][gc] GC(186) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[314.469s][info][gc] GC(187) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[315.469s][info][gc] GC(188) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[316.469s][info][gc] GC(189) Garbage Collection (Proactive) 12M(60%)->12M(60%)
[330.766s][info][gc] GC(190) Garbage Collection (Proactive) 14M(70%)->10M(50%)
[331.769s][info][gc] GC(191) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[332.969s][info][gc] GC(192) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[334.179s][info][gc] GC(193) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[335.970s][info][gc] GC(194) Garbage Collection (Proactive) 12M(60%)->12M(60%)
[350.969s][info][gc] GC(195) Garbage Collection (Proactive) 14M(70%)->10M(50%)
[352.265s][info][gc] GC(196) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[353.467s][info][gc] GC(197) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[354.563s][info][gc] GC(198) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[355.765s][info][gc] GC(199) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[356.874s][info][gc] GC(200) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[357.859s][info][gc] GC(201) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[358.871s][info][gc] GC(202) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[359.871s][info][gc] GC(203) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[360.835s][info][gc] Allocation Stall (main) 19.271ms
[360.835s][info][gc] GC(204) Garbage Collection (Allocation Stall) 20M(100%)->14M(70%)
[360.861s][info][gc] Allocation Stall (main) 16.328ms
[360.862s][info][gc] GC(205) Garbage Collection (Allocation Stall) 20M(100%)->16M(80%)
[360.885s][info][gc] Allocation Stall (main) 15.477ms
[360.885s][info][gc] GC(206) Garbage Collection (Allocation Stall) 20M(100%)->16M(80%)
[360.907s][info][gc] Allocation Stall (main) 14.670ms
[360.908s][info][gc] Relocation Stall (main) 0.020ms
[360.908s][info][gc] GC(207) Garbage Collection (Allocation Stall) 20M(100%)->18M(90%)
[360.965s][info][gc] GC(208) Garbage Collection (Allocation Rate) 20M(100%)->10M(50%)
[361.061s][info][gc] GC(209) Garbage Collection (Allocation Rate) 10M(50%)->12M(60%)
[361.169s][info][gc] GC(210) Garbage Collection (Allocation Rate) 12M(60%)->10M(50%)
[361.271s][info][gc] GC(211) Garbage Collection (Allocation Rate) 12M(60%)->10M(50%)
[361.364s][info][gc] GC(212) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[361.471s][info][gc] GC(213) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[361.565s][info][gc] GC(214) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[361.659s][info][gc] GC(215) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[361.769s][info][gc] GC(216) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[361.972s][info][gc] GC(217) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[362.064s][info][gc] GC(218) Garbage Collection (Allocation Rate) 10M(50%)->12M(60%)
[362.160s][info][gc] GC(219) Garbage Collection (Allocation Rate) 12M(60%)->10M(50%)
[362.269s][info][gc] GC(220) Garbage Collection (Allocation Rate) 12M(60%)->10M(50%)
[362.361s][info][gc] GC(221) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[362.474s][info][gc] GC(222) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[362.566s][info][gc] GC(223) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[362.661s][info][gc] GC(224) Garbage Collection (Allocation Rate) 10M(50%)->10M(50%)
[363.665s][info][gc] GC(225) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[364.666s][info][gc] GC(226) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[365.665s][info][gc] GC(227) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[366.665s][info][gc] GC(228) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[367.660s][info][gc] GC(229) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[368.769s][info][gc] GC(230) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[369.862s][info][gc] GC(231) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[370.862s][info][gc] GC(232) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[371.863s][info][gc] GC(233) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[372.864s][info][gc] GC(234) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[373.971s][info][gc] GC(235) Garbage Collection (Proactive) 10M(50%)->10M(50%)
[375.065s][info][gc] GC(236) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[376.064s][info][gc] GC(237) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[377.065s][info][gc] GC(238) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[378.069s][info][gc] GC(239) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[379.070s][info][gc] GC(240) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[380.070s][info][gc] GC(241) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[381.070s][info][gc] GC(242) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[382.070s][info][gc] GC(243) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[383.062s][info][gc] GC(244) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[384.063s][info][gc] GC(245) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[385.062s][info][gc] GC(246) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[386.063s][info][gc] GC(247) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[387.063s][info][gc] GC(248) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[388.063s][info][gc] GC(249) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[389.062s][info][gc] GC(250) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[390.062s][info][gc] GC(251) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[391.063s][info][gc] GC(252) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[392.062s][info][gc] GC(253) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[393.073s][info][gc] GC(254) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[394.072s][info][gc] GC(255) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[395.071s][info][gc] GC(256) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[396.072s][info][gc] GC(257) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[397.072s][info][gc] GC(258) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[398.061s][info][gc] GC(259) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[399.061s][info][gc] GC(260) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[400.060s][info][gc] GC(261) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[401.061s][info][gc] GC(262) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[402.067s][info][gc] GC(263) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[403.672s][info][gc] GC(264) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[405.061s][info][gc] GC(265) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[406.263s][info][gc] GC(266) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[407.373s][info][gc] GC(267) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[408.367s][info][gc] GC(268) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[409.367s][info][gc] GC(269) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[410.367s][info][gc] GC(270) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[411.367s][info][gc] GC(271) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[412.273s][info][gc] GC(272) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[413.263s][info][gc] GC(273) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[414.170s][info][gc] GC(274) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[415.170s][info][gc] GC(275) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[416.169s][info][gc] GC(276) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[417.170s][info][gc] GC(277) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[418.170s][info][gc] GC(278) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[419.169s][info][gc] GC(279) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[420.169s][info][gc] GC(280) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[421.169s][info][gc] GC(281) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[422.060s][info][gc] GC(282) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[423.070s][info][gc] GC(283) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[424.070s][info][gc] GC(284) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[425.069s][info][gc] GC(285) Garbage Collection (Proactive) 12M(60%)->10M(50%)
